stop_id,stop_name,stop_desc,stop_lat,stop_lon
6712,STATE & 5101 #6712,,43.0444475,-87.9779369
7661,INACTIVE Operator Relief Point #7661,,43.0118594,-87.9152766
1801,S92 & ORCHARD #1801,,43.0138967,-88.0272162
5006,MORGAN & S81 #5006,,42.9809579,-88.0142152
7652,N8 & CHAMBERS #7652,,43.0732273,-87.9214759
1178,FOREST HOME & HOWARD #1178,,42.9736474,-87.9928862
4628,S35 & FORESTHOME #4628,,42.9951493,-87.958751
1387,OAKLAND & CUMBERLAND #1387,,43.1015111,-87.8875303
6459,N76 & GRANTOSA #6459,,43.1100999,-88.005915
6862,S76 & PIERCE #6862,,43.0237576,-88.0073868
1932,S13 & ABBOTT #1932,,42.9495066,-87.9292056
1785,NATIONAL & S6 #1785,,43.0231768,-87.9184932
4361,PROSPECT & ALBION #4361,,43.0498663,-87.8935061
1250,HOLTON & CHAMBERS #1250,,43.072752,-87.905143
5521,WARNIMONT & LAKE #5521,,42.9335462,-87.8493689
2507,N92 & WISCONSIN #2507,,43.0385543,-88.0271436
4893,RYAN & HOWELL #4893,,42.8721576,-87.9118577
5810,BURLEIGH & N51 #5810,,43.0753151,-87.9771366
3957,LAYTON & GRANT #3957,,43.0051884,-87.9482069
1630,S84 & ADLER #1630,,43.0263476,-88.0175336
6531,S84 & LAPHAM #6531,,43.0128627,-88.0170094
4340,WISCONSIN & N22 #4340,,43.0386074,-87.9406613
3919,N27 & CONCORDIA #3919,,43.0793464,-87.9473946
728,S1 & VIRGINIA #728,,43.0261353,-87.9110042
1244,HOLTON & MEINECKE #1244,,43.0619186,-87.9052747
1638,GREENFIELD & S106 #1638,,43.0165957,-88.0442668
5060,OKLAHOMA & KK #5060,,42.9882272,-87.8833275
3936,INACTIVE N27 & MCKINLEY #3936,,43.0474177,-87.9479537
29,N76 & CALUMET #29,,43.1558873,-88.004839
5831,BURLEIGH & COLONIAL #5831,,43.0751252,-88.0328061
6541,GLENVIEW & HARWOOD #6541,,43.0471415,-88.0124176
